species,lat,lon
Emys orbicularis,37.12629,-6.503995
Emys orbicularis,37.13052,50.354427
Emys orbicularis,37.133146,-8.110114
Emys orbicularis,37.141687,-7.797106
Emys orbicularis,37.142961,50.325826
Emys orbicularis,37.147785,-8.12385
Emys orbicularis,37.148027,-6.442249
Emys orbicularis,37.148785,-7.45167
Emys orbicularis,37.15,-6.47
Emys orbicularis,37.15,-5.76
Emys orbicularis,37.150002,-5.76
Emys orbicularis,37.150002,-6.47
Emys orbicularis,37.151905,-8.133628
Emys orbicularis,37.158585,-7.700218
Emys orbicularis,37.16,-6.92
Emys orbicularis,37.16,-6.58
Emys orbicularis,37.16,-6.69
Emys orbicularis,37.16,-6.92
Emys orbicularis,37.16,-6.69
Emys orbicularis,37.16,-6.58
Emys orbicularis,37.160056,-8.132083
Emys orbicularis,37.160558,-7.97892
Emys orbicularis,37.166963,-6.538803
Emys orbicularis,37.172411,-8.042838
Emys orbicularis,37.17354,-8.053195
Emys orbicularis,37.183929,-8.041112
Emys orbicularis,37.185894,-8.887489
Emys orbicularis,37.191019,50.353341
Emys orbicularis,37.196359,-8.096801
Emys orbicularis,37.201443,49.719598
Emys orbicularis,37.215613,50.199971
Emys orbicularis,37.219108,49.916238
Emys orbicularis,37.22403,-7.17169
Emys orbicularis,37.226944,49.696637
Emys orbicularis,37.228809,49.436426
Emys orbicularis,37.232998,49.71944
Emys orbicularis,37.24,-6.46
Emys orbicularis,37.240002,-6.46
Emys orbicularis,37.241919,49.943557
Emys orbicularis,37.248165,49.710583
Emys orbicularis,37.25,-6.91
Emys orbicularis,37.25,-6.58
Emys orbicularis,37.25,-6.69
Emys orbicularis,37.25,-6.91
Emys orbicularis,37.25,-6.69
Emys orbicularis,37.25,-6.58
Emys orbicularis,37.254025,50.14612
Emys orbicularis,37.257669,49.669003
Emys orbicularis,37.259998,-7.48
Emys orbicularis,37.259998,-7.36
Emys orbicularis,37.259998,-7.03
Emys orbicularis,37.26,-7.36
Emys orbicularis,37.26,-7.03
Emys orbicularis,37.26,-7.48
Emys orbicularis,37.265164,49.618871
Emys orbicularis,37.267299,49.71835
Emys orbicularis,37.26941,49.714831
Emys orbicularis,37.273885,49.710153
Emys orbicularis,37.279637,49.752019
Emys orbicularis,37.299098,49.757913
Emys orbicularis,37.301192,49.675217
Emys orbicularis,37.30432,49.34985
Emys orbicularis,37.310381,-8.643331
Emys orbicularis,37.311453,49.693935
Emys orbicularis,37.317869,49.849207
Emys orbicularis,37.31849,49.651423
Emys orbicularis,37.319169,49.848163
Emys orbicularis,37.33,-6.46
Emys orbicularis,37.330002,-6.46
Emys orbicularis,37.336315,-5.830994
Emys orbicularis,37.338278,50.069934
Emys orbicularis,37.34,-6.57
Emys orbicularis,37.34,-6.57
Emys orbicularis,37.349998,-7.48
Emys orbicularis,37.349998,-7.36
Emys orbicularis,37.349998,-7.25
Emys orbicularis,37.349998,-7.14
Emys orbicularis,37.349998,-7.02
Emys orbicularis,37.35,-7.14
Emys orbicularis,37.35,-7.36
Emys orbicularis,37.35,-7.02
Emys orbicularis,37.35,-7.25
Emys orbicularis,37.35,-7.48
Emys orbicularis,37.360974,49.713667
Emys orbicularis,37.370809,49.647003
Emys orbicularis,37.372463,49.764323
Emys orbicularis,37.375203,49.831255
Emys orbicularis,37.37641,49.720012
Emys orbicularis,37.380768,49.745858
Emys orbicularis,37.384918,50.009751
Emys orbicularis,37.39189,49.801005
Emys orbicularis,37.396111,49.760987
Emys orbicularis,37.415833,22.125834
Emys orbicularis,37.43064,49.85522
Emys orbicularis,37.434581,49.916362
Emys orbicularis,37.439999,-7.47
Emys orbicularis,37.439999,-7.36
Emys orbicularis,37.439999,-7.25
Emys orbicularis,37.439999,-7.13
Emys orbicularis,37.44,-4.3
Emys orbicularis,37.44,-7.36
Emys orbicularis,37.44,-7.25
Emys orbicularis,37.44,-7.47
Emys orbicularis,37.44,-7.13
Emys orbicularis,37.449112,49.851933
Emys orbicularis,37.44923,49.973332
Emys orbicularis,37.49,14.14
Emys orbicularis,37.5,21.6
Emys orbicularis,37.5,14.14
Emys orbicularis,37.5,14.14
Emys orbicularis,37.5,14.14
Emys orbicularis,37.5,21.61
Emys orbicularis,37.509998,-6.45
Emys orbicularis,37.51,-6.45
Emys orbicularis,37.51,21.6
Emys orbicularis,37.51,21.6
Emys orbicularis,37.51,21.6
Emys orbicularis,37.51,21.6
Emys orbicularis,37.51,21.6
Emys orbicularis,37.51,21.6
Emys orbicularis,37.51,21.6
Emys orbicularis,37.51,21.6
Emys orbicularis,37.51,21.59
Emys orbicularis,37.51,21.6
Emys orbicularis,37.514317,21.599852
Emys orbicularis,37.52,-6.79
Emys orbicularis,37.52,-6.79
Emys orbicularis,37.529999,-7.25
Emys orbicularis,37.529999,-7.13
Emys orbicularis,37.529999,-7.02
Emys orbicularis,37.53,-7.25
Emys orbicularis,37.53,-7.02
Emys orbicularis,37.53,-7.13
Emys orbicularis,37.53,-7.36
Emys orbicularis,37.541309,27.413635
Emys orbicularis,37.574658,49.820879
Emys orbicularis,37.591385,27.191162
Emys orbicularis,37.593964,49.765566
Emys orbicularis,37.594646,27.446594
Emys orbicularis,37.594646,27.446594
Emys orbicularis,37.599998,-6.45
Emys orbicularis,37.6,-6.45
Emys orbicularis,37.61,-6.56
Emys orbicularis,37.61,-6.9
Emys orbicularis,37.610001,-6.9
Emys orbicularis,37.610001,-6.56
Emys orbicularis,37.61964,48.979354
Emys orbicularis,37.619999,-7.47
Emys orbicularis,37.619999,-7.36
Emys orbicularis,37.619999,-7.24
Emys orbicularis,37.619999,-7.13
Emys orbicularis,37.619999,-7.02
Emys orbicularis,37.62,-7.02
Emys orbicularis,37.62,-7.13
Emys orbicularis,37.62,-7.24
Emys orbicularis,37.62,-7.47
Emys orbicularis,37.62,-7.36
Emys orbicularis,37.636803,31.572475
Emys orbicularis,37.66,26.88
Emys orbicularis,37.68,-6.07
Emys orbicularis,37.68,20.83
Emys orbicularis,37.68,20.83
Emys orbicularis,37.68,20.83
Emys orbicularis,37.68,20.83
Emys orbicularis,37.68,20.83
Emys orbicularis,37.68,20.83
Emys orbicularis,37.68,20.83
Emys orbicularis,37.68,20.82
Emys orbicularis,37.68,20.82
Emys orbicularis,37.684399,-8.080916
Emys orbicularis,37.689999,-5.78
Emys orbicularis,37.689999,-5.67
Emys orbicularis,37.69,-5.78
Emys orbicularis,37.69,-5.67
Emys orbicularis,37.7,-6.56
Emys orbicularis,37.7,-6.79
Emys orbicularis,37.7,-6.67
Emys orbicularis,37.7,-6.9
Emys orbicularis,37.700001,-6.9
Emys orbicularis,37.700001,-6.79
Emys orbicularis,37.700001,-6.67
Emys orbicularis,37.700001,-6.56
Emys orbicularis,37.709999,-7.47
Emys orbicularis,37.709999,-7.13
Emys orbicularis,37.709999,-7.01
Emys orbicularis,37.71,-7.13
Emys orbicularis,37.71,-7.01
Emys orbicularis,37.71,-7.47
Emys orbicularis,37.71859,-8.059158
Emys orbicularis,37.723352,-8.033752
Emys orbicularis,37.741719,-7.955206
Emys orbicularis,37.754671,-6.51118
Emys orbicularis,37.766388,-8.010251
Emys orbicularis,37.779999,-5.9
Emys orbicularis,37.779999,-6.44
Emys orbicularis,37.78,-6.44
Emys orbicularis,37.78,-5.9
Emys orbicularis,37.780178,-7.837784
Emys orbicularis,37.79,-6.79
Emys orbicularis,37.79,-6.9
Emys orbicularis,37.790001,-6.9
Emys orbicularis,37.790001,-6.79
Emys orbicularis,37.791279,-7.862817
Emys orbicularis,37.799999,-7.24
Emys orbicularis,37.8,-7.24
Emys orbicularis,37.808868,-5.755241
Emys orbicularis,37.8194,46.2986
Emys orbicularis,37.8194,46.2986
Emys orbicularis,37.8194,46.2986
Emys orbicularis,37.8194,46.2986
Emys orbicularis,37.8194,46.2986
Emys orbicularis,37.820632,-5.816974
Emys orbicularis,37.83,-5.8
Emys orbicularis,37.831692,46.728562
Emys orbicularis,37.835493,-5.79536
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.05
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.84,-6.06
Emys orbicularis,37.843607,-6.050674
Emys orbicularis,37.843728,-6.051503
Emys orbicularis,37.85,22.46
Emys orbicularis,37.855717,23.766937
Emys orbicularis,37.859226,48.973913
Emys orbicularis,37.869999,-5.9
Emys orbicularis,37.869999,-5.79
Emys orbicularis,37.869999,-5.56
Emys orbicularis,37.87,-5.9
Emys orbicularis,37.87,-5.79
Emys orbicularis,37.87,-5.56
Emys orbicularis,37.88,-6.9
Emys orbicularis,37.880001,-6.9
Emys orbicularis,37.889999,-7.24
Emys orbicularis,37.889999,-7.01
Emys orbicularis,37.89,-7.01
Emys orbicularis,37.89,-7.24
Emys orbicularis,37.9,-3.17
Emys orbicularis,37.900002,-3.17
Emys orbicularis,37.902142,48.871104
Emys orbicularis,37.916638,48.867307
Emys orbicularis,37.92,-6.18
Emys orbicularis,37.92,-6.19
Emys orbicularis,37.92,-6.18
Emys orbicularis,37.920672,-6.179494
Emys orbicularis,37.920774,-6.179505
Emys orbicularis,37.920825,-6.179652
Emys orbicularis,37.920918,-6.179688
Emys orbicularis,37.923058,24.003056
Emys orbicularis,37.925081,-6.181711
Emys orbicularis,37.948772,27.364309
Emys orbicularis,37.950534,-6.249642
Emys orbicularis,37.951626,-6.170128
Emys orbicularis,37.959999,-5.79
Emys orbicularis,37.959999,-5.68
Emys orbicularis,37.959999,-6.32
Emys orbicularis,37.959999,-6.21
Emys orbicularis,37.959999,-5.9
Emys orbicularis,37.96,-6.32
Emys orbicularis,37.96,-6.21
Emys orbicularis,37.96,-5.9
Emys orbicularis,37.96,-5.79
Emys orbicularis,37.96,-5.68
Emys orbicularis,37.962233,-6.277427
Emys orbicularis,37.97,-5.11
Emys orbicularis,37.97,-6.89
Emys orbicularis,37.970001,-6.89
Emys orbicularis,37.970001,-5.11
Emys orbicularis,37.98,-4.99
Emys orbicularis,37.98,-7.01
Emys orbicularis,37.98,-7.01
Emys orbicularis,37.98,-4.99
Emys orbicularis,37.981481,23.640806
Emys orbicularis,37.99,-3.17
Emys orbicularis,37.99,-2.83
Emys orbicularis,37.99,-2.94
Emys orbicularis,37.990002,-3.17
Emys orbicularis,37.990002,-2.94
Emys orbicularis,37.998697,48.899024
Emys orbicularis,38.004337,27.192949
Emys orbicularis,38.022003,24.082614
Emys orbicularis,38.02455,23.891125
Emys orbicularis,38.03,22.09
Emys orbicularis,38.03,22.09
Emys orbicularis,38.049999,-5.79
Emys orbicularis,38.049999,-5.91
Emys orbicularis,38.05,-5.79
Emys orbicularis,38.05,-5.91
Emys orbicularis,38.05,21.32
Emys orbicularis,38.07,-4.99
Emys orbicularis,38.07,-4.88
Emys orbicularis,38.07,-7.01
Emys orbicularis,38.07,-7.12
Emys orbicularis,38.07,-7.12
Emys orbicularis,38.07,-7.01
Emys orbicularis,38.07,-4.99
Emys orbicularis,38.07,-4.88
Emys orbicularis,38.079943,24.19002
Emys orbicularis,38.08,-4.2
Emys orbicularis,38.08,-4.31
Emys orbicularis,38.080002,-4.31
Emys orbicularis,38.085028,-8.028953
Emys orbicularis,38.1,21.37
Emys orbicularis,38.104574,24.13441
Emys orbicularis,38.12,21.38
Emys orbicularis,38.139999,-6.2
Emys orbicularis,38.139999,-5.68
Emys orbicularis,38.14,-6.2
Emys orbicularis,38.14,-5.68
Emys orbicularis,38.14,21.38
Emys orbicularis,38.14,21.38
Emys orbicularis,38.141579,30.785065
Emys orbicularis,38.147247,21.395187
Emys orbicularis,38.15,-5.11
Emys orbicularis,38.15,-5.45
Emys orbicularis,38.15,-5.57
Emys orbicularis,38.15,-6.77
Emys orbicularis,38.15,-6.89
Emys orbicularis,38.15,-6.66
Emys orbicularis,38.15,21.4
Emys orbicularis,38.15,21.4
Emys orbicularis,38.15,21.38
Emys orbicularis,38.15,21.37
Emys orbicularis,38.15,21.4
Emys orbicularis,38.15,21.4
Emys orbicularis,38.150002,-5.45
Emys orbicularis,38.150002,-5.11
Emys orbicularis,38.150002,-6.66
Emys orbicularis,38.150002,-6.89
Emys orbicularis,38.150002,-6.77
Emys orbicularis,38.150002,-5.57
Emys orbicularis,38.159725,24.176368
Emys orbicularis,38.16,-5
Emys orbicularis,38.16,-7
Emys orbicularis,38.16,21.4
Emys orbicularis,38.16,-5
Emys orbicularis,38.16,-7
Emys orbicularis,38.163876,20.508043
Emys orbicularis,38.165888,24.085563
Emys orbicularis,38.166891,24.167349
Emys orbicularis,38.169998,-4.08
Emys orbicularis,38.169998,-3.97
Emys orbicularis,38.169998,-4.31
Emys orbicularis,38.169998,-4.2
Emys orbicularis,38.17,-3.97
Emys orbicularis,38.17,-4.2
Emys orbicularis,38.17,-4.31
Emys orbicularis,38.17,-4.08
Emys orbicularis,38.1812,24.139319
Emys orbicularis,38.181917,24.027589
Emys orbicularis,38.200444,33.868047
Emys orbicularis,38.202079,35.38851
Emys orbicularis,38.213393,-4.352104
Emys orbicularis,38.217347,35.243071
Emys orbicularis,38.220433,35.293182
Emys orbicularis,38.223995,35.24288
Emys orbicularis,38.228371,33.594865
Emys orbicularis,38.23,-6.2
Emys orbicularis,38.23,-6.32
Emys orbicularis,38.23,-5.68
Emys orbicularis,38.23,-6.32
Emys orbicularis,38.23,-6.2
Emys orbicularis,38.23,-5.68
Emys orbicularis,38.235056,35.015375
Emys orbicularis,38.24,-5.23
Emys orbicularis,38.24,-5.11
Emys orbicularis,38.24,35.2
Emys orbicularis,38.24,35.2
Emys orbicularis,38.24,35.19
Emys orbicularis,38.240002,-5.23
Emys orbicularis,38.240002,-5.11
Emys orbicularis,38.25,27.16
Emys orbicularis,38.25,35.2
Emys orbicularis,38.259998,-4.09
Emys orbicularis,38.259998,-3.97
Emys orbicularis,38.259998,-3.51
Emys orbicularis,38.259998,-3.4
Emys orbicularis,38.259998,-4.31
Emys orbicularis,38.259998,-4.2
Emys orbicularis,38.26,-3.74
Emys orbicularis,38.26,-3.51
Emys orbicularis,38.26,-3.4
