scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,28.259278,-81.276767
Trachemys scripta scripta,28.308896,-82.704648
Trachemys scripta scripta,28.366058,-16.72175
Trachemys scripta scripta,28.366453,-81.677188
Trachemys scripta scripta,28.371234,-82.321517
Trachemys scripta scripta,28.373922,-81.394753
Trachemys scripta scripta,28.412865,-16.546483
Trachemys scripta scripta,28.413014,-16.546408
Trachemys scripta scripta,28.413014,-16.546408
Trachemys scripta scripta,28.510525,-81.099902
Trachemys scripta scripta,28.518476,-82.580233
Trachemys scripta scripta,28.519104,-82.574924
Trachemys scripta scripta,28.531959,-81.368356
Trachemys scripta scripta,28.532346,-81.370636
Trachemys scripta scripta,28.532793,-81.318913
Trachemys scripta scripta,28.53468,-81.194199
Trachemys scripta scripta,28.542476,-81.37369
Trachemys scripta scripta,28.543419,-81.371261
Trachemys scripta scripta,28.54361,-81.372778
Trachemys scripta scripta,28.544346,-81.372156
Trachemys scripta scripta,28.545963,-81.370216
Trachemys scripta scripta,28.576457,-81.587262
Trachemys scripta scripta,28.577315,-81.586986
Trachemys scripta scripta,28.577493,-81.586658
Trachemys scripta scripta,28.583369,-81.357314
Trachemys scripta scripta,28.590997,-81.314025
Trachemys scripta scripta,28.601925,-81.193482
Trachemys scripta scripta,28.63125,-81.733772
Trachemys scripta scripta,28.640363,-81.300144
Trachemys scripta scripta,28.654781,-17.912895
Trachemys scripta scripta,28.702024,-81.255943
Trachemys scripta scripta,28.713771,-81.458644
Trachemys scripta scripta,28.714373,-81.451499
Trachemys scripta scripta,28.742766,-81.522503
Trachemys scripta scripta,28.887867,-82.586037
Trachemys scripta scripta,28.908886,-82.637385
Trachemys scripta scripta,28.94334,-81.341013
Trachemys scripta scripta,28.945713,-81.338889
Trachemys scripta scripta,28.9459,-81.338918
Trachemys scripta scripta,28.94758,-81.339653
Trachemys scripta scripta,28.964694,-82.32879
Trachemys scripta scripta,28.98331,-96.013987
Trachemys scripta scripta,29.046833,-82.447889
