scientific,decimalLat,decimalLon
Trachemys scripta scripta,28.062166999999999,-82.418274999999994
Trachemys scripta scripta,28.062203000000000,-82.418542000000002
Trachemys scripta scripta,28.066834000000000,-80.623856000000004
Trachemys scripta scripta,28.066855000000000,-80.623979000000006
Trachemys scripta scripta,28.067105000000002,-80.622597999999996
Trachemys scripta scripta,28.071525000000001,-82.372742000000002
Trachemys scripta scripta,28.071636000000002,-82.375957000000000
Trachemys scripta scripta,28.071859000000000,-82.372559999999993
Trachemys scripta scripta,28.072527999999998,-82.377871999999996
Trachemys scripta scripta,28.073445000000000,-82.377708999999996
Trachemys scripta scripta,28.073450000000001,-82.377754999999993
Trachemys scripta scripta,28.073508000000000,-82.377700000000004
Trachemys scripta scripta,28.073709000000001,-82.375546999999997
Trachemys scripta scripta,28.073739000000000,-82.377127999999999
Trachemys scripta scripta,28.073871000000000,-82.375376000000003
Trachemys scripta scripta,28.073871000000000,-82.375376000000003
Trachemys scripta scripta,28.073896999999999,-82.377021999999997
Trachemys scripta scripta,28.075659000000002,-82.375105000000005
Trachemys scripta scripta,28.078294000000000,-82.711429999999993
Trachemys scripta scripta,28.085300000000000,-82.704736999999994
Trachemys scripta scripta,28.088601000000001,-82.701457000000005
Trachemys scripta scripta,28.089293999999999,-82.310372000000001
Trachemys scripta scripta,28.092271000000000,-82.437386000000004
Trachemys scripta scripta,28.113337000000001,-82.736357999999996
Trachemys scripta scripta,28.142835999999999,-80.597532999999999
Trachemys scripta scripta,28.146525000000000,-82.238427000000001
Trachemys scripta scripta,28.148318000000000,-82.236638999999997
Trachemys scripta scripta,28.150064000000000,-82.233037999999993
Trachemys scripta scripta,28.163231000000000,-80.660455999999996
Trachemys scripta scripta,28.185369999999999,-81.860876000000005
Trachemys scripta scripta,28.208280999999999,-81.421346999999997
Trachemys scripta scripta,28.226751000000000,-81.568886000000006
Trachemys scripta scripta,28.259277999999998,-81.276767000000007
Trachemys scripta scripta,28.308896000000001,-82.704648000000006
Trachemys scripta scripta,28.366453000000000,-81.677188000000001
Trachemys scripta scripta,28.371234000000001,-82.321517000000000
Trachemys scripta scripta,28.373922000000000,-81.394752999999994
Trachemys scripta scripta,28.510525000000001,-81.099902000000000
Trachemys scripta scripta,28.518476000000000,-82.580233000000007
Trachemys scripta scripta,28.519103999999999,-82.574923999999996
Trachemys scripta scripta,28.531959000000001,-81.368356000000006
Trachemys scripta scripta,28.532346000000000,-81.370636000000005
Trachemys scripta scripta,28.532793000000002,-81.318912999999995
Trachemys scripta scripta,28.534680000000002,-81.194198999999998
Trachemys scripta scripta,28.542476000000001,-81.373689999999996
Trachemys scripta scripta,28.543419000000000,-81.371261000000004
Trachemys scripta scripta,28.543610000000001,-81.372777999999997
Trachemys scripta scripta,28.544346000000001,-81.372156000000004
Trachemys scripta scripta,28.545963000000000,-81.370215999999999
Trachemys scripta scripta,28.576457000000001,-81.587261999999996
Trachemys scripta scripta,28.577314999999999,-81.586985999999996
Trachemys scripta scripta,28.577493000000000,-81.586658000000000
Trachemys scripta scripta,28.583369000000001,-81.357314000000002
Trachemys scripta scripta,28.590997000000002,-81.314025000000001
Trachemys scripta scripta,28.601925000000001,-81.193482000000003
Trachemys scripta scripta,28.631250000000001,-81.733772000000002
Trachemys scripta scripta,28.640363000000001,-81.300144000000003
Trachemys scripta scripta,28.702024000000002,-81.255943000000002
Trachemys scripta scripta,28.713771000000001,-81.458644000000007
Trachemys scripta scripta,28.714372999999998,-81.451498999999998
Trachemys scripta scripta,28.742766000000000,-81.522503000000000
Trachemys scripta scripta,28.887867000000000,-82.586037000000005
Trachemys scripta scripta,28.908885999999999,-82.637384999999995
Trachemys scripta scripta,28.943339999999999,-81.341013000000004
Trachemys scripta scripta,28.945713000000001,-81.338888999999995
Trachemys scripta scripta,28.945900000000002,-81.338918000000007
Trachemys scripta scripta,28.947579999999999,-81.339652999999998
Trachemys scripta scripta,28.964694000000001,-82.328789999999998
Trachemys scripta scripta,28.983309999999999,-96.013987000000000
Trachemys scripta scripta,29.046832999999999,-82.447889000000004
Trachemys scripta scripta,29.107676999999999,-81.371741000000000
Trachemys scripta scripta,29.108000000000001,-81.372000000000000
Trachemys scripta scripta,29.115321999999999,-82.254160999999996
Trachemys scripta scripta,29.115321999999999,-82.254050000000007
Trachemys scripta scripta,29.132631000000000,-81.377238000000006
Trachemys scripta scripta,29.146563000000000,-80.977413999999996
Trachemys scripta scripta,29.180237999999999,-82.065314000000001
Trachemys scripta scripta,29.183481000000000,-81.707687000000007
Trachemys scripta scripta,29.185314999999999,-81.708442000000005
Trachemys scripta scripta,29.190273000000001,-82.133283000000006
Trachemys scripta scripta,29.202400000000001,-82.016670000000005
Trachemys scripta scripta,29.214186000000002,-81.992553000000001
Trachemys scripta scripta,29.229073000000000,-82.039390999999995
Trachemys scripta scripta,29.251802999999999,-100.540239999999997
Trachemys scripta scripta,29.286087999999999,-83.151499000000001
Trachemys scripta scripta,29.286087999999999,-83.151499000000001
Trachemys scripta scripta,29.287973999999998,-81.047246000000001
Trachemys scripta scripta,29.330328000000002,-83.051444000000004
Trachemys scripta scripta,29.333846999999999,-81.732094000000004
Trachemys scripta scripta,29.341070999999999,-83.125998999999993
Trachemys scripta scripta,29.341070999999999,-83.125998999999993
Trachemys scripta scripta,29.341182000000000,-83.126163000000005
Trachemys scripta scripta,29.341182000000000,-83.125991999999997
Trachemys scripta scripta,29.371044000000001,-83.052724999999995
Trachemys scripta scripta,29.397020000000001,-95.001768999999996
Trachemys scripta scripta,29.443328000000001,-98.481362000000004
Trachemys scripta scripta,29.449114999999999,-98.529190999999997
Trachemys scripta scripta,29.449114999999999,-98.529190999999997
Trachemys scripta scripta,29.450385000000001,-98.477051000000003
Trachemys scripta scripta,29.450776000000001,-82.953901000000002
Trachemys scripta scripta,29.451250000000002,-98.211862999999994
Trachemys scripta scripta,29.453655999999999,-98.477608000000004
Trachemys scripta scripta,29.459672000000001,-98.456806000000000
Trachemys scripta scripta,29.460735000000000,-98.477338000000003
Trachemys scripta scripta,29.460742000000000,-98.472887000000000
Trachemys scripta scripta,29.461458000000000,-98.477104999999995
Trachemys scripta scripta,29.461638000000001,-98.476973000000001
Trachemys scripta scripta,29.461734000000000,-98.245236000000006
Trachemys scripta scripta,29.463011999999999,-98.469571000000002
Trachemys scripta scripta,29.463400000000000,-98.469785000000002
Trachemys scripta scripta,29.489042999999999,-82.980356999999998
Trachemys scripta scripta,29.489352000000000,-82.977869999999996
Trachemys scripta scripta,29.508362999999999,-98.377583000000001
Trachemys scripta scripta,29.510210000000001,-98.559010000000001
Trachemys scripta scripta,29.524657999999999,-98.379412000000002
Trachemys scripta scripta,29.530664999999999,-82.305447000000001
Trachemys scripta scripta,29.534858000000000,-98.415531000000001
Trachemys scripta scripta,29.547158000000000,-98.261493000000002
Trachemys scripta scripta,29.550260000000002,-98.276070000000004
Trachemys scripta scripta,29.550260000000002,-98.276070000000004
Trachemys scripta scripta,29.550260000000002,-98.276070000000004
Trachemys scripta scripta,29.550260000000002,-98.276070000000004
Trachemys scripta scripta,29.550260000000002,-98.276070000000004
Trachemys scripta scripta,29.559024000000001,-83.391200999999995
Trachemys scripta scripta,29.565152000000001,-82.604579000000001
Trachemys scripta scripta,29.572208000000000,-82.844571000000002
Trachemys scripta scripta,29.588092000000000,-82.935676000000001
Trachemys scripta scripta,29.588549000000000,-82.934484999999995
Trachemys scripta scripta,29.595369000000002,-98.399355999999997
Trachemys scripta scripta,29.596896999999998,-95.675927000000001
Trachemys scripta scripta,29.601042000000000,-82.368530000000007
Trachemys scripta scripta,29.604786000000001,-82.439149999999998
Trachemys scripta scripta,29.607652999999999,-82.352751999999995
Trachemys scripta scripta,29.612911000000000,-82.410539000000000
Trachemys scripta scripta,29.614536999999999,-82.310845000000000
Trachemys scripta scripta,29.615777000000001,-82.382958000000002
Trachemys scripta scripta,29.615873000000001,-82.314182000000002
Trachemys scripta scripta,29.617377999999999,-82.322126999999995
Trachemys scripta scripta,29.617455000000000,-82.325928000000005
Trachemys scripta scripta,29.617563000000001,-82.368752999999998
Trachemys scripta scripta,29.618912999999999,-82.324143000000007
Trachemys scripta scripta,29.618952000000000,-82.374554000000003
Trachemys scripta scripta,29.619983000000001,-82.357061999999999
Trachemys scripta scripta,29.620792000000002,-82.307036999999994
Trachemys scripta scripta,29.620840999999999,-82.324050999999997
Trachemys scripta scripta,29.621179999999999,-82.417312999999993
Trachemys scripta scripta,29.621188000000000,-82.418961999999993
Trachemys scripta scripta,29.621836999999999,-82.417186000000001
Trachemys scripta scripta,29.622357999999998,-95.647301999999996
Trachemys scripta scripta,29.625233000000001,-82.365168999999995
Trachemys scripta scripta,29.628653000000000,-82.353482999999997
Trachemys scripta scripta,29.628722000000000,-82.353617000000000
Trachemys scripta scripta,29.629075000000000,-82.348962000000000
Trachemys scripta scripta,29.631678999999998,-82.364711000000000
Trachemys scripta scripta,29.633420000000001,-82.369798000000003
Trachemys scripta scripta,29.633617000000001,-82.305077999999995
Trachemys scripta scripta,29.633745999999999,-82.367789999999999
Trachemys scripta scripta,29.633792000000000,-82.367962000000006
Trachemys scripta scripta,29.633914000000001,-82.367418999999998
Trachemys scripta scripta,29.634532000000000,-82.368184999999997
Trachemys scripta scripta,29.634875000000001,-82.368286999999995
Trachemys scripta scripta,29.634941999999999,-82.368246999999997
Trachemys scripta scripta,29.635065000000001,-82.409317999999999
Trachemys scripta scripta,29.636006999999999,-82.451665000000006
Trachemys scripta scripta,29.636192000000001,-82.370971999999995
Trachemys scripta scripta,29.637036999999999,-82.340761000000001
Trachemys scripta scripta,29.637232999999998,-82.313012999999998
Trachemys scripta scripta,29.637262000000000,-82.330820000000003
Trachemys scripta scripta,29.637644000000002,-82.378361999999996
Trachemys scripta scripta,29.639641000000001,-82.362465000000000
Trachemys scripta scripta,29.641031999999999,-82.349605999999994
Trachemys scripta scripta,29.642384000000000,-82.940427000000000
Trachemys scripta scripta,29.642384000000000,-82.940427000000000
Trachemys scripta scripta,29.642384000000000,-82.940427000000000
Trachemys scripta scripta,29.642384000000000,-82.940427000000000
Trachemys scripta scripta,29.643180000000001,-82.323809999999995
Trachemys scripta scripta,29.643453000000001,-82.310317999999995
Trachemys scripta scripta,29.643719999999998,-82.321655000000007
Trachemys scripta scripta,29.643763000000000,-82.321578000000002
Trachemys scripta scripta,29.643822000000000,-82.321472000000000
Trachemys scripta scripta,29.643858000000002,-82.321541999999994
Trachemys scripta scripta,29.643937999999999,-82.323729999999998
Trachemys scripta scripta,29.644338000000001,-82.321825000000004
Trachemys scripta scripta,29.644704000000001,-82.350887000000000
Trachemys scripta scripta,29.645275000000002,-82.351096999999996
Trachemys scripta scripta,29.645361999999999,-82.351005000000001
Trachemys scripta scripta,29.645778000000000,-82.347345000000004
Trachemys scripta scripta,29.645883000000001,-82.347205000000002
Trachemys scripta scripta,29.645899000000000,-82.347239999999999
Trachemys scripta scripta,29.645983000000001,-82.347183000000001
Trachemys scripta scripta,29.646179000000000,-82.739361000000002
Trachemys scripta scripta,29.646315999999999,-82.355086000000000
Trachemys scripta scripta,29.646937000000001,-98.436516999999995
Trachemys scripta scripta,29.647537000000000,-82.344780000000000
Trachemys scripta scripta,29.648192999999999,-82.239227999999997
Trachemys scripta scripta,29.651733000000000,-82.775971999999996
Trachemys scripta scripta,29.653779000000000,-82.395628000000002
Trachemys scripta scripta,29.661390999999998,-82.351376999999999
Trachemys scripta scripta,29.662161000000001,-81.212830999999994
Trachemys scripta scripta,29.668360000000000,-82.238772999999995
Trachemys scripta scripta,29.671322000000000,-83.245390000000000
Trachemys scripta scripta,29.678500000000000,-82.424980000000005
Trachemys scripta scripta,29.681252000000001,-82.409357999999997
Trachemys scripta scripta,29.689435000000000,-82.398804999999996
Trachemys scripta scripta,29.689705000000000,-82.422309999999996
Trachemys scripta scripta,29.690059999999999,-82.398829000000006
