scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,40.731607,-73.34477
Trachemys scripta scripta,40.729844,-73.847125
Trachemys scripta scripta,40.728224,-73.794852
Trachemys scripta scripta,40.718106,-73.844847
Trachemys scripta scripta,40.712775,-74.005973
Trachemys scripta scripta,40.711949,-73.975753
Trachemys scripta scripta,40.681691,-73.642656
Trachemys scripta scripta,40.676993,-73.515161
Trachemys scripta scripta,40.672674,-78.548487
Trachemys scripta scripta,40.668549,-73.962953
Trachemys scripta scripta,40.667895,-74.319633
Trachemys scripta scripta,40.663656,-73.97098
Trachemys scripta scripta,40.663549,-73.968759
Trachemys scripta scripta,40.663394,-73.968784
Trachemys scripta scripta,40.663394,-73.968784
Trachemys scripta scripta,40.66328,-73.971848
Trachemys scripta scripta,40.663153,-73.969102
Trachemys scripta scripta,40.662363,-73.965267
Trachemys scripta scripta,40.662347,-73.966285
Trachemys scripta scripta,40.662092,-73.9699
Trachemys scripta scripta,40.662092,-73.9699
Trachemys scripta scripta,40.662092,-73.9699
Trachemys scripta scripta,40.662092,-73.9699
Trachemys scripta scripta,40.662092,-73.9699
Trachemys scripta scripta,40.662092,-73.9699
Trachemys scripta scripta,40.661823,-73.965645
Trachemys scripta scripta,40.661595,-73.965417
Trachemys scripta scripta,40.66137,-73.9657
Trachemys scripta scripta,40.661245,-73.965424
Trachemys scripta scripta,40.660962,-73.965613
Trachemys scripta scripta,40.660955,-73.965245
Trachemys scripta scripta,40.660945,-73.965002
Trachemys scripta scripta,40.660334,-73.965437
Trachemys scripta scripta,40.660334,-73.965437
Trachemys scripta scripta,40.660263,-73.966556
Trachemys scripta scripta,40.660204,-73.968956
Trachemys scripta scripta,40.660204,-73.968956
Trachemys scripta scripta,40.660204,-73.968956
Trachemys scripta scripta,40.659935,-73.967622
Trachemys scripta scripta,40.659875,-73.967695
Trachemys scripta scripta,40.659839,-73.966963
Trachemys scripta scripta,40.659774,-73.967207
Trachemys scripta scripta,40.659752,-73.96788
Trachemys scripta scripta,40.659722,-73.967849
Trachemys scripta scripta,40.659627,-73.967903
Trachemys scripta scripta,40.659577,-73.967922
Trachemys scripta scripta,40.65957,-73.969159
Trachemys scripta scripta,40.65957,-73.969159
Trachemys scripta scripta,40.659562,-73.966858
Trachemys scripta scripta,40.659306,-73.96799
Trachemys scripta scripta,40.65923,-73.968392
Trachemys scripta scripta,40.659217,-73.967345
Trachemys scripta scripta,40.659133,-73.968452
Trachemys scripta scripta,40.659079,-73.96481
Trachemys scripta scripta,40.659067,-73.964714
Trachemys scripta scripta,40.65904,-73.964985
Trachemys scripta scripta,40.659032,-73.968072
Trachemys scripta scripta,40.658988,-73.968217
Trachemys scripta scripta,40.658943,-73.968102
Trachemys scripta scripta,40.658792,-73.96499
Trachemys scripta scripta,40.658608,-73.965072
Trachemys scripta scripta,40.658553,-73.965333
